algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,1000,OrdernadoAscendente,1,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,2,31,8977,999
Insercion Binaria,1000,OrdernadoAscendente,3,32,8977,999
Insercion Binaria,1000,OrdernadoAscendente,4,36,8977,999
Insercion Binaria,1000,OrdernadoAscendente,5,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,6,43,8977,999
Insercion Binaria,1000,OrdernadoAscendente,7,32,8977,999
Insercion Binaria,1000,OrdernadoAscendente,8,32,8977,999
Insercion Binaria,1000,OrdernadoAscendente,9,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,10,35,8977,999
Insercion Binaria,1000,OrdernadoAscendente,11,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,12,32,8977,999
Insercion Binaria,1000,OrdernadoAscendente,13,30,8977,999
Insercion Binaria,1000,OrdernadoAscendente,14,21,8977,999
Insercion Binaria,1000,OrdernadoAscendente,15,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,16,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,17,32,8977,999
Insercion Binaria,1000,OrdernadoAscendente,18,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,19,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,20,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,21,21,8977,999
Insercion Binaria,1000,OrdernadoAscendente,22,20,8977,999
Insercion Binaria,1000,OrdernadoAscendente,23,22,8977,999
Insercion Binaria,1000,OrdernadoAscendente,24,22,8977,999
Insercion Binaria,1000,OrdernadoAscendente,25,35,8977,999
Insercion Binaria,1000,OrdernadoAscendente,26,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,27,861,8977,999
Insercion Binaria,1000,OrdernadoAscendente,28,34,8977,999
Insercion Binaria,1000,OrdernadoAscendente,29,33,8977,999
Insercion Binaria,1000,OrdernadoAscendente,30,33,8977,999

Radix sort,1000,OrdernadoAscendente,1,89,5003,8000
Radix sort,1000,OrdernadoAscendente,2,28,5003,8000
Radix sort,1000,OrdernadoAscendente,3,28,5003,8000
Radix sort,1000,OrdernadoAscendente,4,27,5003,8000
Radix sort,1000,OrdernadoAscendente,5,27,5003,8000
Radix sort,1000,OrdernadoAscendente,6,27,5003,8000
Radix sort,1000,OrdernadoAscendente,7,27,5003,8000
Radix sort,1000,OrdernadoAscendente,8,27,5003,8000
Radix sort,1000,OrdernadoAscendente,9,28,5003,8000
Radix sort,1000,OrdernadoAscendente,10,27,5003,8000
Radix sort,1000,OrdernadoAscendente,11,27,5003,8000
Radix sort,1000,OrdernadoAscendente,12,28,5003,8000
Radix sort,1000,OrdernadoAscendente,13,28,5003,8000
Radix sort,1000,OrdernadoAscendente,14,27,5003,8000
Radix sort,1000,OrdernadoAscendente,15,27,5003,8000
Radix sort,1000,OrdernadoAscendente,16,28,5003,8000
Radix sort,1000,OrdernadoAscendente,17,28,5003,8000
Radix sort,1000,OrdernadoAscendente,18,28,5003,8000
Radix sort,1000,OrdernadoAscendente,19,27,5003,8000
Radix sort,1000,OrdernadoAscendente,20,27,5003,8000
Radix sort,1000,OrdernadoAscendente,21,28,5003,8000
Radix sort,1000,OrdernadoAscendente,22,130,5003,8000
Radix sort,1000,OrdernadoAscendente,23,28,5003,8000
Radix sort,1000,OrdernadoAscendente,24,27,5003,8000
Radix sort,1000,OrdernadoAscendente,25,27,5003,8000
Radix sort,1000,OrdernadoAscendente,26,27,5003,8000
Radix sort,1000,OrdernadoAscendente,27,28,5003,8000
Radix sort,1000,OrdernadoAscendente,28,28,5003,8000
Radix sort,1000,OrdernadoAscendente,29,27,5003,8000
Radix sort,1000,OrdernadoAscendente,30,27,5003,8000
