algoritmo,n,patron,repeticion,tiempo_us,comparaciones,intercambios

Insercion Binaria,1000,OrdernadoDescendente,1,1037,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,2,1156,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,3,1030,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,4,1938,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,5,1044,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,6,1070,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,7,1669,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,8,1047,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,9,1035,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,10,1036,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,11,1035,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,12,1046,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,13,1032,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,14,2049,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,15,3083,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,16,1038,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,17,1036,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,18,1038,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,19,2006,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,20,1052,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,21,1035,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,22,1040,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,23,1086,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,24,1146,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,25,3266,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,26,5029,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,27,1035,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,28,1036,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,29,2106,7987,500499
Insercion Binaria,1000,OrdernadoDescendente,30,2760,7987,500499

Radix sort,1000,OrdernadoDescendente,1,67,5003,8000
Radix sort,1000,OrdernadoDescendente,2,27,5003,8000
Radix sort,1000,OrdernadoDescendente,3,33,5003,8000
Radix sort,1000,OrdernadoDescendente,4,27,5003,8000
Radix sort,1000,OrdernadoDescendente,5,27,5003,8000
Radix sort,1000,OrdernadoDescendente,6,27,5003,8000
Radix sort,1000,OrdernadoDescendente,7,27,5003,8000
Radix sort,1000,OrdernadoDescendente,8,27,5003,8000
Radix sort,1000,OrdernadoDescendente,9,27,5003,8000
Radix sort,1000,OrdernadoDescendente,10,27,5003,8000
Radix sort,1000,OrdernadoDescendente,11,27,5003,8000
Radix sort,1000,OrdernadoDescendente,12,27,5003,8000
Radix sort,1000,OrdernadoDescendente,13,27,5003,8000
Radix sort,1000,OrdernadoDescendente,14,27,5003,8000
Radix sort,1000,OrdernadoDescendente,15,27,5003,8000
Radix sort,1000,OrdernadoDescendente,16,36,5003,8000
Radix sort,1000,OrdernadoDescendente,17,27,5003,8000
Radix sort,1000,OrdernadoDescendente,18,27,5003,8000
Radix sort,1000,OrdernadoDescendente,19,27,5003,8000
Radix sort,1000,OrdernadoDescendente,20,27,5003,8000
Radix sort,1000,OrdernadoDescendente,21,27,5003,8000
Radix sort,1000,OrdernadoDescendente,22,27,5003,8000
Radix sort,1000,OrdernadoDescendente,23,27,5003,8000
Radix sort,1000,OrdernadoDescendente,24,27,5003,8000
Radix sort,1000,OrdernadoDescendente,25,27,5003,8000
Radix sort,1000,OrdernadoDescendente,26,27,5003,8000
Radix sort,1000,OrdernadoDescendente,27,27,5003,8000
Radix sort,1000,OrdernadoDescendente,28,28,5003,8000
Radix sort,1000,OrdernadoDescendente,29,28,5003,8000
Radix sort,1000,OrdernadoDescendente,30,27,5003,8000
